pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck
67903,6,4,2,2,24.416666667,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,1,2,2,6,38,4,4,5,4,1,2,1,1,1,3,4.1,1,4,6,6,4,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-01-01,2020-07-01,,18,0
67928,6,2,8,1,31.916666667,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,1,1,1,2,6,40,5,5,5,3,1,2,1,1,1,1,2.5,2,3,1,1,1,1,2019,1,2,2009-03-01,2019-02-28,2019-09-01,,2019-04-01,2020-02-01,,10,0
67985,6,1,1,2,32.666666667,2,9,1,1,1,1,1,1,1,5,40,4,3,3,5,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,3,3.5,2,4,6,5,6,1,2019,0,1,2017-03-01,2019-02-28,2019-09-01,2016-01-01,,,44,,0
67987,6,2,9,2,23.833333333,,,,,,,,,,,,,,,,,,,,,9,9,2,2,2,1,2,2,2,3,24,2,1,1,1,3,3,3,1,3,3,3.5,1,4,5,5,5,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2020-07-01,2020-07-01,,0,0
68025,6,3,4,2,27.083333333,2,7,1,3,1,1,1,3,1,5,72,3,3,4,5,2,1,3,3,3,,,,,,,,,,,,,,,,,,,,,-1,,2,3,5,5,5,1,2019,0,1,2017-03-01,2019-02-28,2019-09-01,2015-08-01,,,49,,0
68037,6,3,11,2,24.75,,,,,,,,,,,,,,,,,,,,,9,11,1,1,1,1,1,1,1,5,40,3,3,4,3,1,2,1,1,1,3,3.43,1,2,2,3,3,1,2019,1,2,2014-03-01,2019-02-28,2019-09-01,,2019-06-01,2020-07-01,,13,0
68177,6,1,1,2,28.583333333,,,,,,,,,,,,,,,,,,,,,9,1,1,1,1,1,1,1,1,5,40,2,2,5,4,2,1,1,2,1,2,3.3,1,5,4,4,4,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-03-01,2020-05-01,,14,0
68279,6,3,11,1,34.833333333,2,3,3,1,2,2,1,1,2,5,40,3,3,2,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,3,2.8,2,2,3,2,4,1,2019,0,1,2012-09-01,2018-08-31,2019-09-01,2014-08-01,,,61,,0
68294,6,3,10,2,25.166666667,,,,,,,,,,,,,,,,,,,,,5,10,1,1,3,1,1,3,3,6,48,1,3,5,4,1,2,1,1,1,3,4.03,1,3,3,4,4,1,2019,1,2,2014-03-01,2019-02-28,2019-09-01,,2019-03-01,2020-04-01,,13,0
68359,6,2,9,1,25.833333333,,,,,,,,,,,,,,,,,,,,,9,1,1,1,2,1,1,2,2,5,40,5,5,3,5,1,2,1,1,1,2,4.12,1,1,7,7,7,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-02-01,2020-08-01,,18,0
